Days,Bunny,Gravy,Lettuce,Mouth,Potatoes,Turkey,Walnut,Yam*,Plume,Hen,Cardinal
1 or less,7,3,16,2,0,11,5,2,4,6,7
2,0,5,3,0,0,2,2,1,1,1,3
3,0,3,2,1,0,4,1,1,2,1,0
4,1,0,0,0,0,1,1,0,0,2,2
5,1,0,0,0,0,1,0,0,1,0,0
6 to 9,2,0,1,1,0,0,3,1,2,0,1
10 to 14,0,0,2,1,0,0,1,0,2,2,1
15 to 19,1,0,0,2,0,0,0,0,0,1,1
20+,0,0,2,0,0,0,0,3,0,1,1
