Days,Bunny,Walnut,Gravy,Mouth,Lettuce,Plume,Hen,Cardinal,Turkey,Yam
1,7,6,4,1,3,5,6,20,10,2
2,0,1,5,1,0,1,1,0,4,1
3,1,2,1,0,0,1,0,2,3,0
4,1,0,0,0,0,1,0,2,1,0
5,0,0,0,0,0,0,1,0,0,0
8,2,3,0,1,0,2,1,1,0,1
12,0,1,0,2,1,2,1,1,0,0
17,1,0,0,1,0,0,1,0,0,0
35,0,0,0,0,0,0,1,2,0,3
50,0,0,0,0,2,0,0,0,0,0
